48.38753,20.62243,Odonata,Sympecma,fusca
48.38753,20.62243,Odonata,Ischnura,elegans pontica
48.38753,20.62243,Odonata,Cordulia,aeneaturfosa aeneaturfosa
48.38753,20.62243,Odonata,Ischnura,pumilio
48.38753,20.62243,Odonata,Platycnemis,pennipes pennipes
48.38753,20.62243,Odonata,Sympetrum,vulgatum vulgatum
48.38753,20.62243,Odonata,Sympetrum,sanguineum sanguineum
48.28408,20.58405,Odonata,Coenagrion,puella puella
48.28100,20.58312,Odonata,Ischnura,elegans pontica
48.28100,20.58312,Odonata,Orthetrum,albistylum albistylum
48.28100,20.58312,Odonata,Platycnemis,pennipes pennipes
48.28100,20.58312,Odonata,Agrion,splendens splendens
48.28100,20.58312,Odonata,Erythromma,viridulum viridulum
48.28100,20.58312,Odonata,Anax,imperator imperator
48.28100,20.58312,Odonata,Coenagrion,puella puella
48.28100,20.58312,Odonata,Sympecma,fusca
48.28100,20.58312,Odonata,Libellula,depressa
48.28100,20.58312,Odonata,Erythromma,najas najas
48.28100,20.58312,Odonata,Platycnemis,pennipes pennipes
48.28100,20.58312,Odonata,Coenagrion,puella puella
48.28100,20.58312,Odonata,Gomphus,vulgatissimus vulgatissimus
48.28100,20.58312,Odonata,Ischnura,elegans pontica
48.28100,20.58312,Odonata,Agrion,splendens splendens
48.28025,20.61487,Odonata,Ischnura,pumilio
48.28025,20.61487,Odonata,Coenagrion,puella puella
48.28025,20.61487,Odonata,Libellula,depressa
48.32848,20.39572,Odonata,Pyrrhosoma,nymphula interposita
48.32848,20.39572,Odonata,Libellula,depressa
48.32848,20.39572,Odonata,Coenagrion,puella puella
48.32727,20.43670,Odonata,Libellula,depressa
48.32727,20.43670,Odonata,Libellula,quadrimaculata quadrimaculata
48.32727,20.43670,Odonata,Lestes,sponsa sponsa
48.32727,20.43670,Odonata,Ischnura,elegans pontica
48.32727,20.43670,Odonata,Pyrrhosoma,nymphula interposita
